CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
11 DE SEPTIEMBRE DE 1888;2600;75;132000;1760.0;3;6;CONTRAFRENTE;;;;SI;BALCON;BELGRANO;13;-58.454169753124305;-34.554869871678051
11 DE SEPTIEMBRE DE 1888;2669;124;132280;1066.8;3;0;;;;;;;BELGRANO;13;-58.455407148129353;-34.553893486530399
11 DE SEPTIEMBRE DE 1888;2700;60;51000;850.0;3;30;;;;;SI;;BELGRANO;13;-58.454925851589586;-34.553987636815698
11 DE SEPTIEMBRE DE 1888;4500;65;88000;1353.8;3;0;FRENTE;;;;SI;BALCON TERRAZA;NUÑEZ;13;-58.465720763575838;-34.539487059718645
11 DE SEPTIEMBRE DE 1888;4800;90;135000;1500.0;3;15;FRENTE;;;;SI;BALCON;NUÑEZ;13;-58.467419808629465;-34.537259771533769
14 DE JULIO;1200;59;78000;1322.0;3;A ESTRENAR;;;;;;BALCON;VILLA ORTUZAR;15;-58.461698132413041;-34.580697915520801
14 DE JULIO;1200;115;175000;1521.7;4;A ESTRENAR;;;;3;;BALCON TERRAZA;VILLA ORTUZAR;15;-58.461698132413041;-34.580697915520801
14 DE JULIO;1300;73;76900;1053.4;3;0;;;;2;SI;;VILLA ORTUZAR;15;-58.461650332394157;-34.579599567457834
15 DE NOVIEMBRE DE 1889;1200;99;70000;707.1;0;0;;;;;;TERRAZA;CONSTITUCION;1;-58.382626471404016;-34.630993754467248
15 DE NOVIEMBRE DE 1889;1200;100;90000;900.0;6;50;FRENTE;;;;SI;;CONSTITUCION;1;-58.382626471404016;-34.630993754467248
15 DE NOVIEMBRE DE 1889;1400;68;75000;1102.9;3;0;;;;2;;;CONSTITUCION;1;-58.385498637633255;-34.631253709565527
15 DE NOVIEMBRE DE 1889;1400;42;40000;952.4;0;0;;;;;;BALCON;CONSTITUCION;1;-58.385498637633255;-34.631253709565527
15 DE NOVIEMBRE DE 1889;1700;100;77000;770.0;4;0;;;;;;;CONSTITUCION;1;-58.388986181838234;-34.631560713367051
20 DE SETIEMBRE;200;18;18000;1000.0;1;0;CONTRAFRENTE;;;1;;;BOCA;4;-58.362069593387737;-34.629067813417777
20 DE SETIEMBRE;300;75;45000;600.0;3;0;FRENTE;;;;;BALCON;BOCA;4;-58.362214940635951;-34.629001541027364
24 DE NOVIEMBRE;100;70;49500;707.1;0;0;;;;;;;BALVANERA;3;-58.41189541065782;-34.610577008348358
24 DE NOVIEMBRE;200;70;59900;855.7;4;0;;;SI;;SI;;BALVANERA;3;-58.411837168638804;-34.611907185730942
24 DE NOVIEMBRE;200;78;52000;666.7;4;0;;;;;;;BALVANERA;3;-58.411837168638804;-34.611907185730942
24 DE NOVIEMBRE;1100;52;46500;894.2;3;50;CONTRAFRENTE;;;;SI;;SAN CRISTOBAL;3;-58.410749899255961;-34.622716209718888
24 DE NOVIEMBRE;1200;54;62000;1148.1;0;0;;;;;;;SAN CRISTOBAL;3;-58.410635454197433;-34.623755973659662
25 DE MAYO;100;88;88000;1000.0;0;0;;;;;;;SAN NICOLAS;1;-58.370674326744123;-34.607229004226205
25 DE MAYO;700;47;46000;978.7;2;35;;;;;SI;PATIO;SAN NICOLAS;1;-58.371106137529161;-34.600727339041576
3 DE FEBRERO;2100;158;179000;1132.9;3;6;;SI;SI;;;BALCON;BELGRANO;13;-58.452191215715054;-34.559412250196694
